fecha,tienda_id,producto_id,categoria,unidades_vendidas,temperatura_media,lluvia_mm,promocion_activa,descuento,impacto_evento,stock_actual
2024-01-01,T01,P001,Bebidas,69,10.5,0,0,0.0,0.0,59
2024-01-01,T01,P011,Bazar,11,10.5,0,0,0.0,0.0,10
2024-01-01,T02,P009,Carne,27,8.5,0,0,0.0,0.0,30
2024-01-01,T03,P007,Fruta,39,11.3,0,1,0.25,0.0,61
2024-01-01,T04,P005,Panaderia,37,4.3,0,0,0.0,0.0,98
2024-01-01,T05,P003,Lacteos,44,7.4,2.1,0,0.0,0.0,102
2024-01-02,T01,P001,Bebidas,54,11.2,0,0,0.0,0.0,118
2024-01-02,T01,P011,Bazar,9,11.2,0,0,0.0,0.0,12
2024-01-02,T02,P009,Carne,28,6.6,0,0,0.0,0.0,30
2024-01-02,T03,P007,Fruta,25,10.4,0,0,0.0,0.0,54
2024-01-02,T04,P005,Panaderia,44,6.9,0,0,0.0,0.0,47
2024-01-02,T05,P003,Lacteos,53,7.1,0,0,0.0,0.0,103
2024-01-03,T01,P001,Bebidas,52,11.3,0,0,0.0,0.0,124
2024-01-03,T01,P011,Bazar,9,11.3,0,0,0.0,0.0,22
2024-01-03,T02,P009,Carne,29,10.1,0,0,0.0,0.0,29
2024-01-03,T03,P007,Fruta,20,12.3,0,0,0.0,0.0,41
2024-01-03,T04,P005,Panaderia,49,7.0,0,1,0.2,0.0,130
2024-01-03,T05,P003,Lacteos,41,14.3,0,0,0.0,0.0,67
2024-01-04,T01,P001,Bebidas,41,9.0,0,0,0.0,0.0,83
2024-01-04,T01,P011,Bazar,11,9.0,0,0,0.0,0.0,22
2024-01-04,T02,P009,Carne,32,8.1,0,0,0.0,0.0,68
2024-01-04,T03,P007,Fruta,34,11.0,0,0,0.0,0.0,35
2024-01-04,T04,P005,Panaderia,32,5.9,0,0,0.0,0.0,61
2024-01-04,T05,P003,Lacteos,48,8.4,0,0,0.0,0.0,127
2024-01-05,T01,P001,Bebidas,74,9.5,11.5,0,0.0,0.0,108
2024-01-05,T01,P011,Bazar,15,9.5,11.5,0,0.0,0.0,36
2024-01-05,T02,P009,Carne,45,9.5,0,1,0.2,0.0,93
2024-01-05,T03,P007,Fruta,29,12.9,0,0,0.0,0.0,61
2024-01-05,T04,P005,Panaderia,42,3.3,7.6,0,0.0,0.0,62
2024-01-05,T05,P003,Lacteos,56,7.4,0,0,0.0,0.0,109
2024-01-06,T01,P001,Bebidas,69,12.3,0,0,0.0,0.0,109
2024-01-06,T01,P011,Bazar,10,12.3,0,0,0.0,0.0,24
2024-01-06,T02,P009,Carne,34,8.0,0,0,0.0,0.0,86
2024-01-06,T03,P007,Fruta,26,7.7,0,0,0.0,0.0,63
2024-01-06,T04,P005,Panaderia,31,1.8,14.1,0,0.0,0.0,32
2024-01-06,T05,P003,Lacteos,53,6.1,0,0,0.0,0.0,123
2024-01-07,T01,P001,Bebidas,62,17.7,0,0,0.0,0.0,163
2024-01-07,T01,P011,Bazar,9,17.7,0,0,0.0,0.0,13
2024-01-07,T02,P009,Carne,23,7.0,0,0,0.0,0.0,36
2024-01-07,T03,P007,Fruta,27,10.1,0,0,0.0,0.0,49
2024-01-07,T04,P005,Panaderia,35,4.3,0,0,0.0,0.0,64
2024-01-07,T05,P003,Lacteos,43,5.8,0,0,0.0,0.0,58
2024-01-08,T01,P001,Bebidas,75,10.8,0,0,0.0,0.0,125
2024-01-08,T01,P011,Bazar,8,10.8,0,0,0.0,0.0,10
2024-01-08,T02,P009,Carne,28,10.6,0,0,0.0,0.0,36
2024-01-08,T03,P007,Fruta,27,5.4,0,0,0.0,0.0,41
2024-01-08,T04,P005,Panaderia,28,-0.6,0,0,0.0,0.0,44
2024-01-08,T05,P003,Lacteos,59,9.6,0,1,0.1,0.0,124
2024-01-09,T01,P001,Bebidas,50,9.4,0,0,0.0,0.0,79
2024-01-09,T01,P011,Bazar,10,9.4,0,0,0.0,0.0,20
2024-01-09,T02,P009,Carne,21,10.7,0,0,0.0,0.0,26
2024-01-09,T03,P007,Fruta,28,16.2,0,0,0.0,0.0,42
2024-01-09,T04,P005,Panaderia,39,4.2,0,0,0.0,0.0,61
2024-01-09,T05,P003,Lacteos,45,4.7,0,0,0.0,0.0,120
2024-01-10,T01,P001,Bebidas,63,8.7,0,0,0.0,0.0,64
2024-01-10,T01,P011,Bazar,9,8.7,0,0,0.0,0.0,9
2024-01-10,T02,P009,Carne,19,10.3,0,0,0.0,0.0,25
2024-01-10,T03,P007,Fruta,28,13.3,9.0,0,0.0,0.0,25
2024-01-10,T04,P005,Panaderia,33,5.8,0,0,0.0,0.0,59
2024-01-10,T05,P003,Lacteos,48,9.7,0,0,0.0,0.0,74
2024-01-11,T01,P001,Bebidas,58,13.9,4.3,0,0.0,0.0,132
2024-01-11,T01,P011,Bazar,13,13.9,4.3,0,0.0,0.0,22
2024-01-11,T02,P009,Carne,28,5.7,10.0,0,0.0,0.0,73
2024-01-11,T03,P007,Fruta,26,9.1,0,0,0.0,0.0,31
2024-01-11,T04,P005,Panaderia,31,4.2,0,0,0.0,0.0,62
2024-01-11,T05,P003,Lacteos,46,7.2,0,0,0.0,0.0,51
2024-01-12,T01,P001,Bebidas,62,13.0,0,0,0.0,0.0,50
2024-01-12,T01,P011,Bazar,11,13.0,0,0,0.0,0.0,11
2024-01-12,T02,P009,Carne,40,8.6,0,1,0.15,0.0,86
2024-01-12,T03,P007,Fruta,34,10.4,0,1,0.1,0.0,80
2024-01-12,T04,P005,Panaderia,36,4.5,0,0,0.0,0.0,43
2024-01-12,T05,P003,Lacteos,58,5.4,0,0,0.0,0.0,128
2024-01-13,T01,P001,Bebidas,71,7.6,0,0,0.0,0.0,86
