fecha,tienda_id,ciudad,temperatura_media,lluvia_mm
2024-01-01,T01,Malaga,10.5,0
2024-01-01,T02,Sevilla,8.5,0
2024-01-01,T03,Almeria,11.3,0
2024-01-01,T04,Granada,4.3,0
2024-01-01,T05,Cordoba,7.4,2.1
2024-01-02,T01,Malaga,11.2,0
2024-01-02,T02,Sevilla,6.6,0
2024-01-02,T03,Almeria,10.4,0
2024-01-02,T04,Granada,6.9,0
2024-01-02,T05,Cordoba,7.1,0
2024-01-03,T01,Malaga,11.3,0
2024-01-03,T02,Sevilla,10.1,0
2024-01-03,T03,Almeria,12.3,0
2024-01-03,T04,Granada,7.0,0
2024-01-03,T05,Cordoba,14.3,0
2024-01-04,T01,Malaga,9.0,0
2024-01-04,T02,Sevilla,8.1,0
2024-01-04,T03,Almeria,11.0,0
2024-01-04,T04,Granada,5.9,0
2024-01-04,T05,Cordoba,8.4,0
2024-01-05,T01,Malaga,9.5,11.5
2024-01-05,T02,Sevilla,9.5,0
2024-01-05,T03,Almeria,12.9,0
2024-01-05,T04,Granada,3.3,7.6
2024-01-05,T05,Cordoba,7.4,0
2024-01-06,T01,Malaga,12.3,0
2024-01-06,T02,Sevilla,8.0,0
2024-01-06,T03,Almeria,7.7,0
2024-01-06,T04,Granada,1.8,14.1
2024-01-06,T05,Cordoba,6.1,0
2024-01-07,T01,Malaga,17.7,0
2024-01-07,T02,Sevilla,7.0,0
2024-01-07,T03,Almeria,10.1,0
2024-01-07,T04,Granada,4.3,0
2024-01-07,T05,Cordoba,5.8,0
2024-01-08,T01,Malaga,10.8,0
2024-01-08,T02,Sevilla,10.6,0
2024-01-08,T03,Almeria,5.4,0
2024-01-08,T04,Granada,-0.6,0
2024-01-08,T05,Cordoba,9.6,0
2024-01-09,T01,Malaga,9.4,0
2024-01-09,T02,Sevilla,10.7,0
2024-01-09,T03,Almeria,16.2,0
2024-01-09,T04,Granada,4.2,0
2024-01-09,T05,Cordoba,4.7,0
2024-01-10,T01,Malaga,8.7,0
2024-01-10,T02,Sevilla,10.3,0
2024-01-10,T03,Almeria,13.3,9.0
2024-01-10,T04,Granada,5.8,0
2024-01-10,T05,Cordoba,9.7,0
2024-01-11,T01,Malaga,13.9,4.3
2024-01-11,T02,Sevilla,5.7,10.0
2024-01-11,T03,Almeria,9.1,0
2024-01-11,T04,Granada,4.2,0
2024-01-11,T05,Cordoba,7.2,0
2024-01-12,T01,Malaga,13.0,0
2024-01-12,T02,Sevilla,8.6,0
2024-01-12,T03,Almeria,10.4,0
2024-01-12,T04,Granada,4.5,0
2024-01-12,T05,Cordoba,5.4,0
2024-01-13,T01,Malaga,7.6,0
2024-01-13,T02,Sevilla,6.6,11.3
2024-01-13,T03,Almeria,10.1,0
2024-01-13,T04,Granada,2.5,0
2024-01-13,T05,Cordoba,8.0,0
2024-01-14,T01,Malaga,9.5,0
2024-01-14,T02,Sevilla,3.7,0
2024-01-14,T03,Almeria,10.9,0
2024-01-14,T04,Granada,9.7,0
2024-01-14,T05,Cordoba,9.1,0
2024-01-15,T01,Malaga,12.5,0
2024-01-15,T02,Sevilla,7.4,0
2024-01-15,T03,Almeria,11.4,0
2024-01-15,T04,Granada,5.9,0
2024-01-15,T05,Cordoba,7.9,10.6
2024-01-16,T01,Malaga,12.8,0
2024-01-16,T02,Sevilla,8.2,0
2024-01-16,T03,Almeria,10.8,0
2024-01-16,T04,Granada,5.5,0
2024-01-16,T05,Cordoba,5.8,0
2024-01-17,T01,Malaga,12.8,0
2024-01-17,T02,Sevilla,10.5,0
2024-01-17,T03,Almeria,13.2,3.8
2024-01-17,T04,Granada,3.0,0
2024-01-17,T05,Cordoba,11.6,0
2024-01-18,T01,Malaga,10.3,4.1
2024-01-18,T02,Sevilla,7.5,0
2024-01-18,T03,Almeria,13.3,12.9
2024-01-18,T04,Granada,5.1,13.1
2024-01-18,T05,Cordoba,7.4,0
2024-01-19,T01,Malaga,7.2,0
2024-01-19,T02,Sevilla,7.2,0
2024-01-19,T03,Almeria,7.4,0
2024-01-19,T04,Granada,2.3,0
2024-01-19,T05,Cordoba,8.7,12.0
2024-01-20,T01,Malaga,13.5,10.0
2024-01-20,T02,Sevilla,8.5,0
2024-01-20,T03,Almeria,9.7,0
2024-01-20,T04,Granada,7.9,0
2024-01-20,T05,Cordoba,8.6,0
2024-01-21,T01,Malaga,5.7,0
2024-01-21,T02,Sevilla,7.7,0
2024-01-21,T03,Almeria,8.1,0
2024-01-21,T04,Granada,4.8,0
2024-01-21,T05,Cordoba,12.3,0
2024-01-22,T01,Malaga,10.0,0
2024-01-22,T02,Sevilla,7.5,0
2024-01-22,T03,Almeria,11.8,0
2024-01-22,T04,Granada,7.8,0
2024-01-22,T05,Cordoba,11.0,0
2024-01-23,T01,Malaga,12.8,0
2024-01-23,T02,Sevilla,9.1,0
2024-01-23,T03,Almeria,9.7,0
2024-01-23,T04,Granada,7.6,0
2024-01-23,T05,Cordoba,10.1,0
2024-01-24,T01,Malaga,11.9,8.9
2024-01-24,T02,Sevilla,9.5,0
2024-01-24,T03,Almeria,15.6,17.5
2024-01-24,T04,Granada,3.7,0
2024-01-24,T05,Cordoba,7.0,7.8
2024-01-25,T01,Malaga,11.4,0
2024-01-25,T02,Sevilla,6.8,2.3
2024-01-25,T03,Almeria,11.9,0
2024-01-25,T04,Granada,7.2,0
2024-01-25,T05,Cordoba,7.4,0
2024-01-26,T01,Malaga,12.3,0
2024-01-26,T02,Sevilla,13.0,0
2024-01-26,T03,Almeria,11.6,0
2024-01-26,T04,Granada,6.3,11.9
2024-01-26,T05,Cordoba,8.2,0
2024-01-27,T01,Malaga,11.1,0
2024-01-27,T02,Sevilla,4.7,0
