fecha,tienda_id,tienda,ciudad,producto_id,producto,categoria,unidades_vendidas,precio_unitario,ingresos,stock_actual
2024-01-01,T01,SuperFresh Centro,Malaga,P001,Agua mineral 1.5L,Bebidas,69,0.75,51.75,59
2024-01-01,T01,SuperFresh Centro,Malaga,P002,Refresco cola 2L,Bebidas,54,1.65,71.28,120
2024-01-01,T01,SuperFresh Centro,Malaga,P003,Leche entera 1L,Lacteos,44,1.05,46.2,52
2024-01-01,T01,SuperFresh Centro,Malaga,P004,Yogur natural pack,Lacteos,32,2.2,70.4,50
2024-01-01,T01,SuperFresh Centro,Malaga,P005,Pan de molde,Panaderia,45,1.35,60.75,77
2024-01-01,T01,SuperFresh Centro,Malaga,P006,Croissants bolsa,Panaderia,25,2.1,52.5,41
2024-01-01,T01,SuperFresh Centro,Malaga,P007,Manzana golden kg,Fruta,46,2.05,70.72,77
2024-01-01,T01,SuperFresh Centro,Malaga,P008,Tomate ensalada kg,Verdura,44,2.3,86.02,63
2024-01-01,T01,SuperFresh Centro,Malaga,P009,Pechuga pollo kg,Carne,29,6.8,197.2,46
2024-01-01,T01,SuperFresh Centro,Malaga,P010,Pizza congelada,Congelados,27,3.1,71.14,73
2024-01-01,T01,SuperFresh Centro,Malaga,P011,Paraguas plegable,Bazar,11,6.5,71.5,10
2024-01-01,T01,SuperFresh Centro,Malaga,P012,Turron chocolate,Dulces,14,2.95,41.3,15
2024-01-01,T02,SuperFresh Norte,Sevilla,P001,Agua mineral 1.5L,Bebidas,41,0.75,30.75,90
2024-01-01,T02,SuperFresh Norte,Sevilla,P002,Refresco cola 2L,Bebidas,52,1.65,68.64,98
2024-01-01,T02,SuperFresh Norte,Sevilla,P003,Leche entera 1L,Lacteos,57,1.05,59.85,54
2024-01-01,T02,SuperFresh Norte,Sevilla,P004,Yogur natural pack,Lacteos,38,2.2,83.6,104
2024-01-01,T02,SuperFresh Norte,Sevilla,P005,Pan de molde,Panaderia,41,1.35,55.35,78
2024-01-01,T02,SuperFresh Norte,Sevilla,P006,Croissants bolsa,Panaderia,29,2.1,60.9,59
2024-01-01,T02,SuperFresh Norte,Sevilla,P007,Manzana golden kg,Fruta,41,2.05,63.04,34
2024-01-01,T02,SuperFresh Norte,Sevilla,P008,Tomate ensalada kg,Verdura,33,2.3,64.51,31
2024-01-01,T02,SuperFresh Norte,Sevilla,P009,Pechuga pollo kg,Carne,27,6.8,183.6,30
2024-01-01,T02,SuperFresh Norte,Sevilla,P010,Pizza congelada,Congelados,22,3.1,57.97,23
2024-01-01,T02,SuperFresh Norte,Sevilla,P011,Paraguas plegable,Bazar,11,6.5,71.5,15
2024-01-01,T02,SuperFresh Norte,Sevilla,P012,Turron chocolate,Dulces,11,2.95,32.45,26
2024-01-01,T03,SuperFresh Costa,Almeria,P001,Agua mineral 1.5L,Bebidas,45,0.75,33.75,68
2024-01-01,T03,SuperFresh Costa,Almeria,P002,Refresco cola 2L,Bebidas,34,1.65,44.88,89
2024-01-01,T03,SuperFresh Costa,Almeria,P003,Leche entera 1L,Lacteos,46,1.05,48.3,77
2024-01-01,T03,SuperFresh Costa,Almeria,P004,Yogur natural pack,Lacteos,25,2.2,55.0,39
2024-01-01,T03,SuperFresh Costa,Almeria,P005,Pan de molde,Panaderia,46,1.35,62.1,42
2024-01-01,T03,SuperFresh Costa,Almeria,P006,Croissants bolsa,Panaderia,21,2.1,44.1,48
2024-01-01,T03,SuperFresh Costa,Almeria,P007,Manzana golden kg,Fruta,39,2.05,59.96,61
2024-01-01,T03,SuperFresh Costa,Almeria,P008,Tomate ensalada kg,Verdura,39,2.3,76.24,90
2024-01-01,T03,SuperFresh Costa,Almeria,P009,Pechuga pollo kg,Carne,25,6.8,170.0,57
2024-01-01,T03,SuperFresh Costa,Almeria,P010,Pizza congelada,Congelados,18,3.1,47.43,37
2024-01-01,T03,SuperFresh Costa,Almeria,P011,Paraguas plegable,Bazar,6,6.5,39.0,9
2024-01-01,T03,SuperFresh Costa,Almeria,P012,Turron chocolate,Dulces,11,2.95,32.45,19
2024-01-01,T04,SuperFresh Sierra,Granada,P001,Agua mineral 1.5L,Bebidas,37,0.75,27.75,62
2024-01-01,T04,SuperFresh Sierra,Granada,P002,Refresco cola 2L,Bebidas,45,1.65,59.4,44
2024-01-01,T04,SuperFresh Sierra,Granada,P003,Leche entera 1L,Lacteos,38,1.05,39.9,77
2024-01-01,T04,SuperFresh Sierra,Granada,P004,Yogur natural pack,Lacteos,34,2.2,74.8,93
2024-01-01,T04,SuperFresh Sierra,Granada,P005,Pan de molde,Panaderia,37,1.35,49.95,98
2024-01-01,T04,SuperFresh Sierra,Granada,P006,Croissants bolsa,Panaderia,21,2.1,44.1,24
2024-01-01,T04,SuperFresh Sierra,Granada,P007,Manzana golden kg,Fruta,38,2.05,58.42,91
2024-01-01,T04,SuperFresh Sierra,Granada,P008,Tomate ensalada kg,Verdura,28,2.3,54.74,77
2024-01-01,T04,SuperFresh Sierra,Granada,P009,Pechuga pollo kg,Carne,26,6.8,176.8,64
2024-01-01,T04,SuperFresh Sierra,Granada,P010,Pizza congelada,Congelados,21,3.1,55.34,29
2024-01-01,T04,SuperFresh Sierra,Granada,P011,Paraguas plegable,Bazar,7,6.5,45.5,15
2024-01-01,T04,SuperFresh Sierra,Granada,P012,Turron chocolate,Dulces,11,2.95,32.45,12
2024-01-01,T05,SuperFresh Sur,Cordoba,P001,Agua mineral 1.5L,Bebidas,46,0.75,34.5,86
2024-01-01,T05,SuperFresh Sur,Cordoba,P002,Refresco cola 2L,Bebidas,40,1.65,52.8,56
2024-01-01,T05,SuperFresh Sur,Cordoba,P003,Leche entera 1L,Lacteos,44,1.05,46.2,102
2024-01-01,T05,SuperFresh Sur,Cordoba,P004,Yogur natural pack,Lacteos,31,2.2,68.2,82
2024-01-01,T05,SuperFresh Sur,Cordoba,P005,Pan de molde,Panaderia,39,1.35,52.65,53
2024-01-01,T05,SuperFresh Sur,Cordoba,P006,Croissants bolsa,Panaderia,24,2.1,50.4,37
2024-01-01,T05,SuperFresh Sur,Cordoba,P007,Manzana golden kg,Fruta,34,2.05,52.27,60
2024-01-01,T05,SuperFresh Sur,Cordoba,P008,Tomate ensalada kg,Verdura,33,2.3,64.51,50
2024-01-01,T05,SuperFresh Sur,Cordoba,P009,Pechuga pollo kg,Carne,23,6.8,156.4,24
2024-01-01,T05,SuperFresh Sur,Cordoba,P010,Pizza congelada,Congelados,22,3.1,57.97,41
2024-01-01,T05,SuperFresh Sur,Cordoba,P011,Paraguas plegable,Bazar,8,6.5,52.0,14
2024-01-01,T05,SuperFresh Sur,Cordoba,P012,Turron chocolate,Dulces,12,2.95,35.4,13
2024-01-02,T01,SuperFresh Centro,Malaga,P001,Agua mineral 1.5L,Bebidas,54,0.75,40.5,118
2024-01-02,T01,SuperFresh Centro,Malaga,P002,Refresco cola 2L,Bebidas,40,1.65,66.0,55
2024-01-02,T01,SuperFresh Centro,Malaga,P003,Leche entera 1L,Lacteos,62,1.05,65.1,104
2024-01-02,T01,SuperFresh Centro,Malaga,P004,Yogur natural pack,Lacteos,40,2.2,74.8,73
2024-01-02,T01,SuperFresh Centro,Malaga,P005,Pan de molde,Panaderia,41,1.35,55.35,37
2024-01-02,T01,SuperFresh Centro,Malaga,P006,Croissants bolsa,Panaderia,25,2.1,52.5,23
2024-01-02,T01,SuperFresh Centro,Malaga,P007,Manzana golden kg,Fruta,34,2.05,69.7,34
2024-01-02,T01,SuperFresh Centro,Malaga,P008,Tomate ensalada kg,Verdura,31,2.3,71.3,40
2024-01-02,T01,SuperFresh Centro,Malaga,P009,Pechuga pollo kg,Carne,24,6.8,163.2,34
2024-01-02,T01,SuperFresh Centro,Malaga,P010,Pizza congelada,Congelados,19,3.1,58.9,51
2024-01-02,T01,SuperFresh Centro,Malaga,P011,Paraguas plegable,Bazar,9,6.5,58.5,12
2024-01-02,T01,SuperFresh Centro,Malaga,P012,Turron chocolate,Dulces,11,2.95,32.45,13
2024-01-02,T02,SuperFresh Norte,Sevilla,P001,Agua mineral 1.5L,Bebidas,57,0.75,42.75,57
2024-01-02,T02,SuperFresh Norte,Sevilla,P002,Refresco cola 2L,Bebidas,40,1.65,66.0,76
2024-01-02,T02,SuperFresh Norte,Sevilla,P003,Leche entera 1L,Lacteos,42,1.05,44.1,80
2024-01-02,T02,SuperFresh Norte,Sevilla,P004,Yogur natural pack,Lacteos,45,2.2,84.15,72
2024-01-02,T02,SuperFresh Norte,Sevilla,P005,Pan de molde,Panaderia,46,1.35,62.1,85
2024-01-02,T02,SuperFresh Norte,Sevilla,P006,Croissants bolsa,Panaderia,24,2.1,50.4,56
2024-01-02,T02,SuperFresh Norte,Sevilla,P007,Manzana golden kg,Fruta,33,2.05,67.65,82
2024-01-02,T02,SuperFresh Norte,Sevilla,P008,Tomate ensalada kg,Verdura,26,2.3,59.8,64
2024-01-02,T02,SuperFresh Norte,Sevilla,P009,Pechuga pollo kg,Carne,28,6.8,190.4,30
2024-01-02,T02,SuperFresh Norte,Sevilla,P010,Pizza congelada,Congelados,16,3.1,49.6,19
2024-01-02,T02,SuperFresh Norte,Sevilla,P011,Paraguas plegable,Bazar,10,6.5,65.0,26
2024-01-02,T02,SuperFresh Norte,Sevilla,P012,Turron chocolate,Dulces,12,2.95,35.4,16
2024-01-02,T03,SuperFresh Costa,Almeria,P001,Agua mineral 1.5L,Bebidas,42,0.75,31.5,93
2024-01-02,T03,SuperFresh Costa,Almeria,P002,Refresco cola 2L,Bebidas,35,1.65,57.75,32
2024-01-02,T03,SuperFresh Costa,Almeria,P003,Leche entera 1L,Lacteos,49,1.05,51.45,58
2024-01-02,T03,SuperFresh Costa,Almeria,P004,Yogur natural pack,Lacteos,37,2.2,69.19,94
2024-01-02,T03,SuperFresh Costa,Almeria,P005,Pan de molde,Panaderia,43,1.35,58.05,118
2024-01-02,T03,SuperFresh Costa,Almeria,P006,Croissants bolsa,Panaderia,22,2.1,46.2,48
2024-01-02,T03,SuperFresh Costa,Almeria,P007,Manzana golden kg,Fruta,25,2.05,51.25,54
2024-01-02,T03,SuperFresh Costa,Almeria,P008,Tomate ensalada kg,Verdura,29,2.3,66.7,40
2024-01-02,T03,SuperFresh Costa,Almeria,P009,Pechuga pollo kg,Carne,22,6.8,149.6,22
2024-01-02,T03,SuperFresh Costa,Almeria,P010,Pizza congelada,Congelados,17,3.1,52.7,27
2024-01-02,T03,SuperFresh Costa,Almeria,P011,Paraguas plegable,Bazar,8,6.5,52.0,14
2024-01-02,T03,SuperFresh Costa,Almeria,P012,Turron chocolate,Dulces,11,2.95,32.45,16
2024-01-02,T04,SuperFresh Sierra,Granada,P001,Agua mineral 1.5L,Bebidas,47,0.75,35.25,93
2024-01-02,T04,SuperFresh Sierra,Granada,P002,Refresco cola 2L,Bebidas,33,1.65,54.45,83
2024-01-02,T04,SuperFresh Sierra,Granada,P003,Leche entera 1L,Lacteos,43,1.05,45.15,71
2024-01-02,T04,SuperFresh Sierra,Granada,P004,Yogur natural pack,Lacteos,33,2.2,61.71,61
2024-01-02,T04,SuperFresh Sierra,Granada,P005,Pan de molde,Panaderia,44,1.35,59.4,47
2024-01-02,T04,SuperFresh Sierra,Granada,P006,Croissants bolsa,Panaderia,23,2.1,48.3,20
2024-01-02,T04,SuperFresh Sierra,Granada,P007,Manzana golden kg,Fruta,25,2.05,51.25,36
